Q006,media_nota_ciencias_humanas,media_nota_matematica,media_nota_ciencias_da_natureza,media_nota_linguagens_e_codigos,media_nota_redacao,media_nota_soma
Nenhuma Renda,472.99,470.15,450.35,454.23,537.02,2384.74
até RS1.1100,486.29,485.02,459.82,470.09,569.06,2470.28
De RS 1.100 até RS 1.650,509.44,510.04,476.94,492.33,599.11,2587.86
De RS 1.650 até RS 2.200,522.1,525.25,487.54,503.83,614.4,2653.13
De RS 2.200 até RS 2.750,534.14,544.49,499.03,515.08,633.36,2726.1
De RS 2.750 até RS 3.300,542.35,554.55,507.08,521.92,648.99,2774.89
De RS 3.300 até RS 4.400,555.38,574.06,519.73,532.57,668.75,2850.48
De RS 4.400 até RS 5.500,566.04,590.97,531.49,541.45,688.47,2918.42
De RS 5.500 até RS 6.600,574.83,604.12,541.13,548.74,704.37,2973.19
De RS 6.600 até RS 7.700,581.94,613.58,548.06,554.49,715.63,3013.69
De RS 7.700 até RS 8.800,585.72,621.52,553.61,557.84,722.3,3040.99
De RS 8.800 até RS 9.900,590.99,628.08,558.44,562.03,729.76,3069.3
De RS 9.900 até RS 11.000,595.4,637.73,564.47,565.73,738.44,3101.76
De RS 11.000 até RS 13.200,603.54,648.78,572.21,572.2,749.57,3146.3
De RS 13.200 até RS 16.500,608.71,656.9,577.67,576.29,756.44,3176.02
De RS 16.500 até RS 22.000,614.51,668.26,585.8,581.44,766.81,3216.83
Acima de RS 22.000,621.43,684.41,592.38,586.1,775.27,3259.59
